2,大类编码,大类名称,中类编码,中类名称,小类编码,小类名称,销售日期,销售月份,商品编码,规格型号,商品类型,单位,销售数量,销售金额,商品单价,是否促销
113,23,酒饮,2314,进口酒,231404,预调酒,20150102,201501,DW-2314040077,4%275ml,一般商品,瓶,1,8.9,12.9,是
65,10,肉禽,1004,鸡产品,100402,分割鸡件,20150102,201501,DW-1004020003,散称,生鲜,千克,0.516,9.08,17.6,否
65,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040027,散称,生鲜,千克,0.424,4.22,9.96,否
65,20,粮油,2009,盐/糖,200903,绵白糖,20150102,201501,DW-2009030013,400g,一般商品,袋,1,3.9,5.9,是
114,20,粮油,2007,南北干货,200702,银耳,20150102,201501,DW-2007020012,散称,一般商品,kg,0.064,6.34,99,否
114,22,休闲,2204,蜜饯,220499,其他蜜饯,20150102,201501,DW-2204990181,散称,一般商品,KG,0.214,6.38,29.8,否
71,12,蔬果,1203,水果,120307,蕉类,20150102,201501,DW-1203070023,散称,生鲜,KG,1.184,11.82,9.98,否
71,20,粮油,2006,五谷杂粮,200607,杂粮,20150102,201501,DW-2006070060,散称,一般商品,公斤,0.906,14.31,15.8,否
115,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040053,散称,生鲜,千克,1.566,18.79,12,否
116,15,日配,1518,常温乳品,151813,利乐砖乳酸菌,20150102,201501,DW-1518130016,205g,一般商品,盒,12,49,5.5,是
80,22,休闲,2207,糖果,220702,奶糖,20150102,201501,DW-2207020079,90g,一般商品,袋,1,9.5,9.5,否
76,20,粮油,2011,液体调料,201103,凉拌酱油,20150102,201501,DW-2011030005,500mL,一般商品,瓶,1,6.9,6.9,否
76,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150102,201501,DW-3018020111,5片,一般商品,包,1,5.7,5.7,否
77,22,休闲,2202,糕点,220201,派,20150102,201501,DW-2202010047,25g*8枚,一般商品,袋,1,7.5,7.5,否
77,22,休闲,2202,糕点,220298,进口糕点,20150102,201501,DW-2202980007,288g,一般商品,袋,1,16.9,16.9,否
77,22,休闲,2203,膨化点心,220305,粟米类,20150102,201501,DW-2203050054,105g,一般商品,包,1,4.3,4.3,否
99,12,蔬果,1201,蔬菜,120101,叶菜,20150102,201501,DW-1201010001,散称,生鲜,千克,0.122,0.68,5.56,否
89,20,粮油,2011,液体调料,201107,滴醋,20150102,201501,DW-2011070008,500mL,一般商品,瓶,1,4.8,4.8,否
90,30,洗化,3007,洗浴用品,300701,香皂,20150102,201501,DW-3007010188,115g,一般商品,块,1,4.9,4.9,否
83,12,蔬果,1201,蔬菜,120102,根茎,20150102,201501,DW-1201020361,散称,生鲜,kg,0.582,32.59,56,否
87,20,粮油,2010,食用油,201008,山茶油/野茶油,20150102,201501,DW-2010080002,500ml,一般商品,桶,1,87.9,87.9,否
117,10,肉禽,1004,鸡产品,100402,分割鸡件,20150102,201501,DW-1004020001,散称,生鲜,千克,0.274,9.81,35.8,否
117,30,洗化,3017,纸尿裤,301703,成人纸尿裤,20150102,201501,DW-3017030004,10片,一般商品,包,1,43,43,否
97,22,休闲,2206,即食熟制品,220605,鱼类,20150102,201501,DW-2206050108,14g,一般商品,袋,1,1,1,否
113,23,酒饮,2309,啤酒,230901,国产黄啤,20150102,201501,DW-2309010067,4.1%500ml,一般商品,听,1,9.8,9.8,否
112,15,日配,1505,冷藏乳品,150502,冷藏加味酸乳,20150102,201501,DW-1505020147,150g*（8+1,一般商品,袋,1,17.9,17.9,否
118,12,蔬果,1203,水果,120301,柑桔柚类,20150102,201501,DW-1203010217,散称,生鲜,KG,1.656,11.56,6.98,否
107,21,冲调,2104,冲饮品,210402,奶茶饮品,20150102,201501,DW-2104020122,82g,一般商品,杯,1,4.9,4.9,否
85,22,休闲,2203,膨化点心,220301,米制点心,20150102,201501,DW-2203010015,52g,一般商品,袋,1,3.8,3.8,否
88,12,蔬果,1203,水果,120313,其它水果,20150102,201501,DW-1203130449,散称,生鲜,KG,0.596,13.71,23,否
74,15,日配,1505,冷藏乳品,150505,冷藏营养酸乳,20150102,201501,DW-1505050004,100g*10,一般商品,袋,1,11.9,11.9,否
115,12,蔬果,1201,蔬菜,120101,叶菜,20150102,201501,DW-1201010019,散称,生鲜,千克,2.542,4.98,1.96,否
92,12,蔬果,1203,水果,120309,进口水果,20150102,201501,DW-1203090210,散称,生鲜,KG,1.19,10.61,17.6,否
90,22,休闲,2202,糕点,220203,蛋卷,20150102,201501,DW-2202030012,60g,一般商品,盒,1,4.5,4.5,否
90,30,洗化,3016,纸制品,301602,平板纸,20150102,201501,DW-3016020007,400张,一般商品,包,1,5.9,5.9,否
83,12,蔬果,1201,蔬菜,120103,芽菜,20150102,201501,DW-1201030001,散称,生鲜,千克,0.776,1.37,1.76,否
111,15,日配,1515,冷冻火锅类,151501,肉片/串类,20150102,201501,DW-1515010061,260g,一般商品,袋,1,16.3,16.3,否
63,12,蔬果,1201,蔬菜,120101,叶菜,20150102,201501,DW-1201010395,散称,生鲜,Kg,0.635,3.81,6,否
66,30,洗化,3016,纸制品,301606,手帕纸,20150102,201501,DW-3016060009,18包,一般商品,条,1,5,6.9,是
119,20,粮油,2008,调味料,200805,香辛粉,20150102,201501,DW-2008050050,50g,一般商品,袋,1,7.3,7.3,否
70,33,文体,3322,胶水胶带,332201,固体胶,20150102,201501,DW-3322010015,0310A,一般商品,个,1,1.3,1.3,否
71,12,蔬果,1203,水果,120303,梨类,20150102,201501,DW-1203030177,散称,生鲜,KG,1.088,3.46,3.18,否
72,12,蔬果,1201,蔬菜,120106,菌菇类,20150102,201501,DW-1201060006, ,生鲜,盒,1,5.8,5.8,否
76,20,粮油,2015,罐头,201501,八宝粥,20150102,201501,DW-2015010036,360g,一般商品,个,1,3.2,3.2,否
120,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040027,散称,生鲜,千克,0.272,2.71,9.96,否
120,15,日配,1521,蛋类,152101,新鲜蛋品,20150102,201501,DW-1521010005,散称,一般商品,千克,0.982,6.66,6.78,否
108,12,蔬果,1201,蔬菜,120102,根茎,20150102,201501,DW-1201020029,散称,生鲜,千克,-0.001,0,3.96,否
108,12,蔬果,1201,蔬菜,120102,根茎,20150102,201501,DW-1201020029,散称,生鲜,千克,0.001,0,3.96,否
108,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040035,散称,生鲜,千克,0.51,4.9,9.6,否
34,12,蔬果,1203,水果,120301,柑桔柚类,20150102,201501,DW-1203010290,散称,生鲜,KG,0.716,1.43,2,否
66,15,日配,1518,常温乳品,151807,利乐枕营养奶,20150102,201501,DW-1518070001,240ml,一般商品,袋,16,44.8,2.8,否
107,30,洗化,3013,口腔卫生用品,301303,成人牙刷,20150102,201501,DW-3013030252,1*1,一般商品,支,1,8.9,8.9,否
63,12,蔬果,1201,蔬菜,120102,根茎,20150102,201501,DW-1201020013,散称,生鲜,千克,0.601,2.4,4,否
121,20,粮油,2007,南北干货,200706,红枣,20150102,201501,DW-2007060065,散称,一般商品,kg,0.282,5.5,37.8,是
102,12,蔬果,1201,蔬菜,120102,根茎,20150102,201501,DW-1201020010,散称,生鲜,千克,0.152,0.58,3.8,否
114,22,休闲,2206,即食熟制品,220606,海苔,20150102,201501,DW-2206060040,6g,一般商品,袋,1,2,2,否
66,30,洗化,3016,纸制品,301608,软抽纸巾,20150102,201501,DW-3016080084,200抽*6,一般商品,提,1,15.6,15.9,是
66,31,家居,3116,保鲜用品,311604,保鲜袋,20150102,201501,DW-3116040004,30CM*20CM*20,一般商品,卷,1,8.9,10,是
113,23,酒饮,2304,茶饮料,230401,红茶,20150102,201501,DW-2304010004,500ml,一般商品,瓶,1,1.9,2.5,是
112,12,蔬果,1203,水果,120303,梨类,20150102,201501,DW-1203030177,散称,生鲜,KG,1.821,5.79,3.18,否
86,20,粮油,2015,罐头,201501,八宝粥,20150102,201501,DW-2015010036,360g,一般商品,个,12,38.4,3.2,否
69,22,休闲,2201,饼干,220111,趣味/休闲,20150102,201501,DW-2201110128,45g,一般商品,盒,1,3.5,3.5,否
119,20,粮油,2011,液体调料,201103,凉拌酱油,20150102,201501,DW-2011030019,500ml,一般商品,瓶,1,7.9,7.9,否
88,12,蔬果,1203,水果,120301,柑桔柚类,20150102,201501,DW-1203010227,散称,生鲜,KG,0.515,4.11,7.98,否
72,10,肉禽,1001,猪肉,100104,猪骨,20150102,201501,DW-1001040125,散称,生鲜,千克,1.41,58.94,41.8,否
122,23,酒饮,2303,果汁饮料,230304,植物蛋白饮料,20150102,201501,DW-2303040021,1.5L,一般商品,瓶,2,22.6,11.3,否
116,15,日配,1518,常温乳品,151813,利乐砖乳酸菌,20150102,201501,DW-1518130011,200ml,一般商品,盒,12,63.6,5.3,否
93,12,蔬果,1201,蔬菜,120102,根茎,20150102,201501,DW-1201020018,散称,生鲜,千克,0.986,5.48,5.56,否
93,20,粮油,2005,煮食面/粉,200501,挂面,20150102,201501,DW-2005010049,500g,一般商品,卷,1,5.3,5.3,否
94,22,休闲,2206,即食熟制品,220699,其他即食熟制品,20150102,201501,DW-2206990064,120g,一般商品,代,1,17.9,17.9,否
68,22,休闲,2203,膨化点心,220302,袋装薯片,20150102,201501,DW-2203020181,104g,一般商品,罐,1,7.5,7.5,否
70,20,粮油,2003,桶杯装速食面,200301,牛肉口味,20150102,201501,DW-2003010003,55g,一般商品,杯,1,3,3,否
98,30,洗化,3016,纸制品,301609,湿巾纸,20150102,201501,DW-3016090102,60片,一般商品,筒,1,7.9,7.9,否
123,15,日配,1518,常温乳品,151809,百利包纯奶,20150102,201501,DW-1518090001,200ml,一般商品,袋,16,24.9,2.1,是
76,20,粮油,2009,盐/糖,200902,功能盐,20150102,201501,DW-2009020012,400g,一般商品,袋,1,2.3,2.3,否
66,12,蔬果,1203,水果,120307,蕉类,20150102,201501,DW-1203070023,散称,生鲜,KG,1.13,11.28,9.98,否
107,30,洗化,3008,洗护发用品,300802,润发护发,20150102,201501,DW-3008020279,300ml,一般商品,瓶,1,42.9,42.9,否
77,22,休闲,2201,饼干,220103,威化,20150102,201501,DW-2201030079,12.5g*15,一般商品,袋,1,14.9,14.9,否
77,22,休闲,2202,糕点,220202,蛋糕,20150102,201501,DW-2202020159,288g,一般商品,袋,1,10.5,10.5,否
108,12,蔬果,1201,蔬菜,120101,叶菜,20150102,201501,DW-1201010001,散称,生鲜,千克,0.296,1.65,5.56,否
84,15,日配,1521,蛋类,152101,新鲜蛋品,20150102,201501,DW-1521010005,散称,一般商品,千克,0.818,5.55,6.78,否
108,30,洗化,3016,纸制品,301608,软抽纸巾,20150102,201501,DW-3016080239,150抽*6,一般商品,提,1,9.9,9.9,否
34,30,洗化,3016,纸制品,301603,无芯纸,20150102,201501,DW-3016030075,140g*10卷,一般商品,提,1,15.9,24.9,是
90,15,日配,1510,冷冻水饺,151099,其它水饺,20150102,201501,DW-1510990001,500g,一般商品,袋,1,7.9,10.3,是
90,21,冲调,2101,奶粉,210109,营养奶粉,20150102,201501,DW-2101090014,350g,一般商品,袋,1,20.9,20.9,否
90,23,酒饮,2303,果汁饮料,230304,植物蛋白饮料,20150102,201501,DW-2303040083,240ml,一般商品,罐,1,3.9,3.9,否
104,10,肉禽,1001,猪肉,100101,鲜猪肉,20150102,201501,DW-1001010196,散称,生鲜,千克,0.558,15.51,27.8,否
91,12,蔬果,1201,蔬菜,120102,根茎,20150102,201501,DW-1201020045,散称,生鲜,千克,0.81,6.16,7.6,否
64,22,休闲,2202,糕点,220204,沙琪玛,20150102,201501,DW-2202040004,608g,一般商品,袋,1,14.3,14.3,否
68,12,蔬果,1201,蔬菜,120101,叶菜,20150102,201501,DW-1201010029,散称,生鲜,千克,1.025,2.62,2.56,否
68,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040010,散称,生鲜,千克,0.537,1.39,2.58,否
90,20,粮油,2006,五谷杂粮,200607,杂粮,20150102,201501,DW-2006070062,散称,一般商品,公斤,0.546,7.53,13.8,否
90,22,休闲,2201,饼干,220106,钙奶,20150102,201501,DW-2201060004,240g,一般商品,袋,1,3.9,3.9,否
90,30,洗化,3016,纸制品,301602,平板纸,20150102,201501,DW-3016020061,200±8张,一般商品,包,1,3.9,3.9,否
73,30,洗化,3016,纸制品,301608,软抽纸巾,20150102,201501,DW-3016080114,200抽*3,一般商品,提,1,6.9,9.7,是
70,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040042,散称,生鲜,千克,0.292,2.68,7.8,否
74,12,蔬果,1201,蔬菜,120102,根茎,20150102,201501,DW-1201020042,散称,生鲜,千克,0.296,2.31,7.8,否
124,12,蔬果,1201,蔬菜,120102,根茎,20150102,201501,DW-1201020029,散称,生鲜,千克,1.997,7.91,3.96,否
124,12,蔬果,1201,蔬菜,120105,鲜调味,20150102,201501,DW-1201050004,散称,生鲜,千克,0.222,1.33,5.98,否
124,14,烘焙,1403,现制西式糕点,140301,现制西式糕点,20150102,201501,DW-1403010085,散称,生鲜,千克,0.328,5.25,16,否
96,22,休闲,2201,饼干,220111,趣味/休闲,20150102,201501,DW-2201110056,49g,一般商品,盒,1,4.3,4.3,否
12,12,蔬果,1201,蔬菜,120102,根茎,20150102,201501,DW-1201020005,散称,生鲜,千克,0.704,4.62,6.56,否
110,23,酒饮,2304,茶饮料,230401,红茶,20150102,201501,DW-2304010004,500ml,一般商品,瓶,1,1.9,2.5,是
12,12,蔬果,1201,蔬菜,120101,叶菜,20150102,201501,DW-1201010009,散称,生鲜,千克,0.666,4.37,6.56,否
92,12,蔬果,1203,水果,120313,其它水果,20150102,201501,DW-1203130449,散称,生鲜,KG,0.973,6.21,23,否
93,12,蔬果,1202,加工豆类,120201,豆腐,20150102,201501,DW-1202018267,块,生鲜,块,2,3,1.5,否
94,23,酒饮,2303,果汁饮料,230399,其他果汁饮料,20150102,201501,DW-2303990060,445ml,一般商品,瓶,1,4.5,4.5,否
123,20,粮油,2002,袋装速食面组,200203,禽肉口味,20150102,201501,DW-2002030010,98g*5,一般商品,袋,1,11.3,11.3,否
76,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150102,201501,DW-3018020108,8片,一般商品,包,1,8.9,8.9,否
82,12,蔬果,1202,加工豆类,120201,豆腐,20150102,201501,DW-1202018267,块,生鲜,块,1,1.5,1.5,否
87,20,粮油,2011,液体调料,201105,香醋,20150102,201501,DW-2011050009,350mL,一般商品,袋,1,1.3,1.3,否
97,22,休闲,2202,糕点,220299,其他糕点,20150102,201501,DW-2202990154,散装,一般商品,KG,0.258,5.11,19.8,否
68,22,休闲,2207,糖果,220703,软糖,20150102,201501,DW-2207030041,33g,一般商品,支,1,2,2,否
69,22,休闲,2206,即食熟制品,220607,豆干类,20150102,201501,DW-2206070248,150g,一般商品,袋,1,3.9,3.9,否
88,22,休闲,2201,饼干,220110,简装/压缩,20150102,201501,DW-2201100015,散称,一般商品,KG,0.212,2.91,19.8,是
71,12,蔬果,1201,蔬菜,120109,其它蔬菜,20150102,201501,DW-1201090311, ,生鲜,个,4,8,2,否
74,22,休闲,2208,口香糖,220802,有糖口香糖,20150102,201501,DW-2208020030,56g,一般商品,瓶,1,10.9,10.9,否
27,30,洗化,3006,洗衣用品,300602,洗衣液,20150102,201501,DW-3006020193,1kg,一般商品,袋,3,29.7,9.9,否
115,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040052,散称,生鲜,千克,0.882,14.11,16,否
80,15,日配,1518,常温乳品,151807,利乐枕营养奶,20150102,201501,DW-1518070001,240ml,一般商品,袋,16,44.8,2.8,否
94,21,冲调,2104,冲饮品,210402,奶茶饮品,20150102,201501,DW-2104020011,80g,一般商品,杯,1,3,3,否
109,22,休闲,2207,糖果,220799,其他糖果,20150102,201501,DW-2207990013,散称,一般商品,千克,0.128,6.91,54,否
68,12,蔬果,1201,蔬菜,120106,菌菇类,20150102,201501,DW-1201060010,散称,生鲜,千克,0.298,2.68,9,否
68,20,粮油,2001,袋装速食面,200101,牛肉口味,20150102,201501,DW-2001010062,120g,一般商品,袋,1,3,3,否
70,12,蔬果,1201,蔬菜,120106,菌菇类,20150102,201501,DW-1201060010,散称,生鲜,千克,0.116,1.04,9,否
70,33,文体,3321,学生用品,332104,剪刀美工刀,20150102,201501,DW-3321040038,588,一般商品,把,2,1,0.5,否
72,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040036,散称,生鲜,千克,0.82,1.48,1.8,否
72,12,蔬果,1201,蔬菜,120106,菌菇类,20150102,201501,DW-1201060014,散称,生鲜,kg,1,30,30,否
100,12,蔬果,1203,水果,120302,苹果类,20150102,201501,DW-1203020164,散称,生鲜,KG,1.748,31.11,17.8,否
3,22,休闲,2205,炒货,220513,香瓜子,20150102,201501,DW-2205130089,散装,一般商品,KG,0.33,3.87,13.8,是
3,22,休闲,2207,糖果,220799,其他糖果,20150102,201501,DW-2207990018,散称,一般商品,千克,0.13,9.23,71,否
74,30,洗化,3013,口腔卫生用品,301301,成人牙膏,20150102,201501,DW-3013010006,90g,一般商品,支,1,18.9,18.9,否
94,15,日配,1505,冷藏乳品,150503,冷藏果粒酸乳,20150102,201501,DW-1505030006,250g,一般商品,盒,1,6.9,6.9,否
94,23,酒饮,2307,乳饮料,230704,加味酸乳饮,20150102,201501,DW-2307040018,245ml,一般商品,听,1,4.3,4.3,否
90,20,粮油,2015,罐头,201505,肉类罐头,20150102,201501,DW-2015050019,397g,一般商品,听,1,19.9,19.9,否
75,10,肉禽,1004,鸡产品,100402,分割鸡件,20150102,201501,DW-1004020002,散称,生鲜,千克,0.418,7.94,19,否
27,12,蔬果,1201,蔬菜,120102,根茎,20150102,201501,DW-1201020721,散称,生鲜,千克,0.166,0.83,5,否
27,22,休闲,2206,即食熟制品,220607,豆干类,20150102,201501,DW-2206070072,散称,一般商品,千克,0.262,15.46,59,否
125,15,日配,1505,冷藏乳品,150504,冷藏乳酸菌,20150102,201501,DW-1505040001,100g*8,一般商品,组,1,10.9,12.9,是
90,22,休闲,2201,饼干,220111,趣味/休闲,20150102,201501,DW-2201110058,33g,一般商品,盒,1,4.5,4.5,否
105,12,蔬果,1201,蔬菜,120101,叶菜,20150102,201501,DW-1201010029,散称,生鲜,千克,1.082,2.77,2.56,否
124,12,蔬果,1203,水果,120303,梨类,20150102,201501,DW-1203030177,散称,生鲜,KG,1.796,5.71,3.18,否
87,20,粮油,2011,液体调料,201109,白醋,20150102,201501,DW-2011090002,500mL,一般商品,瓶,1,2.9,2.9,否
90,22,休闲,2202,糕点,220203,蛋卷,20150102,201501,DW-2202030010,60g,一般商品,袋,1,4,4.5,否
83,13,熟食,1301,凉拌熟食,130101,凉拌素食,20150102,201501,DW-1301010076,散称,联营商品,kg,0.001,0.02,20,否
106,15,日配,1505,冷藏乳品,150506,冷藏原味鲜乳,20150102,201501,DW-1505060014,100g*8,一般商品,盒,1,9.9,15.9,是
112,23,酒饮,2306,运动机能饮料,230604,健康机能饮料,20150102,201501,DW-2306040039,1L,一般商品,瓶,1,6,6,否
103,12,蔬果,1201,蔬菜,120102,根茎,20150102,201501,DW-1201020037,散称,生鲜,千克,0.334,1.32,3.96,否
85,12,蔬果,1203,水果,120309,进口水果,20150102,201501,DW-1203090210,散称,生鲜,KG,0.618,10.88,17.6,否
114,15,日配,1518,常温乳品,151813,利乐砖乳酸菌,20150102,201501,DW-1518130016,205g,一般商品,盒,12,49,5.5,是
109,12,蔬果,1203,水果,120302,苹果类,20150102,201501,DW-1203020162,散称,生鲜,KG,0.676,5.39,7.98,否
68,15,日配,1505,冷藏乳品,150501,冷藏原味酸乳,20150102,201501,DW-1505010100,80g*8,一般商品,袋,1,11.9,11.9,否
69,22,休闲,2201,饼干,220104,曲奇,20150102,201501,DW-2201040033,72g,一般商品,盒,1,5.7,5.7,否
107,15,日配,1517,常温肉制品,151701,猪肉火腿肠,20150102,201501,DW-1517010003,60g*10,一般商品,袋,1,16.3,16.3,否
68,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040026,散称,生鲜,千克,0.39,0.77,1.98,否
68,20,粮油,2013,调味酱,201304,色拉酱,20150102,201501,DW-2013040009,200g,一般商品,瓶,1,15.9,15.9,否
69,22,休闲,2203,膨化点心,220302,袋装薯片,20150102,201501,DW-2203020028,45g,一般商品,包,1,4,4,否
69,22,休闲,2208,口香糖,220801,无糖口香糖,20150102,201501,DW-2208010045,40粒,一般商品,瓶,1,10.4,10.4,否
70,15,日配,1515,冷冻火锅类,151503,火锅丸类,20150102,201501,DW-1515030007,散称,一般商品,千克,0.534,13.71,32.6,是
71,20,粮油,2007,南北干货,200706,红枣,20150102,201501,DW-2007060065,散称,一般商品,kg,0.35,6.93,37.8,是
106,21,冲调,2107,滋补营养品,210705,补钙/铁/锌,20150102,201501,DW-2107050044,100ml*5,一般商品,盒,1,81.9,81.9,否
106,22,休闲,2204,蜜饯,220403,梅,20150102,201501,DW-2204030327,40g,一般商品,袋,1,4.2,4.2,否
93,13,熟食,1308,现制中式面点,130801,现制蒸类,20150102,201501,DW-1308010192,个,生鲜,个,8,4,0.5,否
94,22,休闲,2204,蜜饯,220405,山楂,20150102,201501,DW-2204050010,115g,一般商品,袋,1,3.9,4.9,是
123,15,日配,1521,蛋类,152101,新鲜蛋品,20150102,201501,DW-1521010005,散称,一般商品,千克,0.94,6.37,6.78,否
82,12,蔬果,1201,蔬菜,120101,叶菜,20150102,201501,DW-1201010023,散称,生鲜,千克,1.038,2.66,2.56,否
80,20,粮油,2010,食用油,201004,玉米油,20150102,201501,DW-2010040008,5L,一般商品,桶,1,87.9,87.9,否
76,22,休闲,2204,蜜饯,220402,枣,20150102,201501,DW-2204020061,150g,一般商品,袋,1,3.7,3.7,否
98,30,洗化,3016,纸制品,301608,软抽纸巾,20150102,201501,DW-3016080183,60抽*3,一般商品,提,1,6.9,6.9,否
109,23,酒饮,2317,进口饮料,231701,进口碳酸,20150102,201501,DW-2317010026,355ml,一般商品,罐,1,5.5,7.5,是
73,23,酒饮,2303,果汁饮料,230304,植物蛋白饮料,20150102,201501,DW-2303040064,380ml,一般商品,瓶,1,4.9,4.9,否
27,12,蔬果,1201,蔬菜,120102,根茎,20150102,201501,DW-1201020026,散称,生鲜,千克,0.352,0.9,2.56,否
77,22,休闲,2203,膨化点心,220305,粟米类,20150102,201501,DW-2203050023,40g,一般商品,袋,1,3.9,3.9,否
34,22,休闲,2204,蜜饯,220401,葡萄干,20150102,201501,DW-2204010005,150g,一般商品,袋,1,7.9,11.9,是
77,22,休闲,2201,饼干,220111,趣味/休闲,20150102,201501,DW-2201110155,60g,一般商品,盒,1,4.9,4.9,否
69,15,日配,1517,常温肉制品,151701,猪肉火腿肠,20150102,201501,DW-1517010003,60g*10,一般商品,袋,1,16.3,16.3,否
72,10,肉禽,1001,猪肉,100101,鲜猪肉,20150102,201501,DW-1001010196,散称,生鲜,千克,0.42,11.68,27.8,否
72,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040016,散称,生鲜,千克,0.752,1.2,1.6,否
80,20,粮油,2002,袋装速食面组,200201,牛肉口味,20150102,201501,DW-2002010013,125g*5,一般商品,组,1,13.9,17.3,否
80,22,休闲,2208,口香糖,220801,无糖口香糖,20150102,201501,DW-2208010043,12片,一般商品,盒,1,5.2,5.2,否
76,20,粮油,2008,调味料,200803,鸡精,20150102,201501,DW-2008030025,200g,一般商品,袋,1,7.3,7.3,否
105,12,蔬果,1203,水果,120307,蕉类,20150102,201501,DW-1203070023,散称,生鲜,KG,0.892,8.9,9.98,否
89,20,粮油,2011,液体调料,201104,其他酱油,20150102,201501,DW-2011040005,500ml,一般商品,瓶,1,8.9,8.9,否
90,22,休闲,2201,饼干,220103,威化,20150102,201501,DW-2201030051,192g,一般商品,盒,1,14.9,14.9,否
90,23,酒饮,2303,果汁饮料,230304,植物蛋白饮料,20150102,201501,DW-2303040062,450g,一般商品,瓶,1,5,5,否
87,12,蔬果,1201,蔬菜,120101,叶菜,20150102,201501,DW-1201010005,散称,生鲜,千克,0.23,1.33,5.8,否
87,12,蔬果,1201,蔬菜,120106,菌菇类,20150102,201501,DW-1201060002,散称,生鲜,千克,0.14,2.52,18,否
63,13,熟食,1308,现制中式面点,130803,现制烙类,20150102,201501,DW-1308030035,个,生鲜,个,4,4,1,否
121,20,粮油,2001,袋装速食面,200101,牛肉口味,20150102,201501,DW-2001010079,112g,一般商品,袋,1,2.5,2.5,否
110,34,针织,3432,鞋配件,343201,鞋垫,20150102,201501,DW-3432010123,230-270,一般商品,双,1,8,8,否
91,12,蔬果,1201,蔬菜,120101,叶菜,20150102,201501,DW-1201010020, ,生鲜,包,1,4.98,4.98,否
105,12,蔬果,1203,水果,120303,梨类,20150102,201501,DW-1203030155,散称,生鲜,KG,1.27,15.21,11.98,否
105,20,粮油,2001,袋装速食面,200101,牛肉口味,20150102,201501,DW-2001010006,101g,一般商品,袋,1,3,3,否
126,20,粮油,2006,五谷杂粮,200605,饺子粉,20150102,201501,DW-2006050001,2.5kg,一般商品,袋,1,19.9,19.9,否
56,20,粮油,2005,煮食面/粉,200502,杂粮挂面,20150102,201501,DW-2005020002,600g,一般商品,袋,2,13.8,6.9,否
106,22,休闲,2206,即食熟制品,220602,猪肉干,20150102,201501,DW-2206020013,50g,一般商品,袋,1,8.9,8.9,否
124,12,蔬果,1201,蔬菜,120102,根茎,20150102,201501,DW-1201020008,散称,生鲜,千克,0.304,1.76,5.8,否
12,20,粮油,2007,南北干货,200704,蔬菜,20150102,201501,DW-2007040026,散称,一般商品,kg,0.346,6.85,19.8,否
83,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040008,散称,生鲜,千克,0.304,1.99,6.56,否
83,22,休闲,2207,糖果,220799,其他糖果,20150102,201501,DW-2207990065,5.5g,一般商品,袋,1,1,1,否
66,21,冲调,2104,冲饮品,210402,奶茶饮品,20150102,201501,DW-2104020024,80g,一般商品,杯,1,3,3,否
107,20,粮油,2003,桶杯装速食面,200301,牛肉口味,20150102,201501,DW-2003010065,114g,一般商品,桶,1,3.9,3.9,否
82,12,蔬果,1201,蔬菜,120101,叶菜,20150102,201501,DW-1201010029,散称,生鲜,千克,1.184,1.87,2.56,否
114,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040026,散称,生鲜,千克,0.418,0.83,1.98,否
103,15,日配,1521,蛋类,152101,新鲜蛋品,20150102,201501,DW-1521010005,散称,一般商品,千克,1.756,11.91,6.78,否
64,12,蔬果,1203,水果,120307,蕉类,20150102,201501,DW-1203070022,散称,生鲜,KG,2.266,13.51,5.96,否
86,15,日配,1518,常温乳品,151803,利乐砖营养奶,20150102,201501,DW-1518030030,250ml*12,一般商品,提,1,59,76,是
63,12,蔬果,1201,蔬菜,120104,花果,20150102,201501,DW-1201040010,散称,生鲜,千克,0.781,2.01,2.58,否
119,20,粮油,2011,液体调料,201111,料酒,20150102,201501,DW-2011110012,500mL,一般商品,瓶,1,5.9,5.9,否
70,12,蔬果,1201,蔬菜,120101,叶菜,20150102,201501,DW-1201010004,散称,生鲜,千克,0.182,1.02,5.6,否
70,12,蔬果,1201,蔬菜,120102,根茎,20150102,201501,DW-1201020010,散称,生鲜,千克,0.454,1.73,3.8,否
74,20,粮油,2011,液体调料,201109,白醋,20150102,201501,DW-2011090007,500ml,一般商品,瓶,1,5.9,5.9,否
94,22,休闲,2201,饼干,220107,酥性,20150102,201501,DW-2201070017,80g,一般商品,袋,1,3.7,3.7,否
94,23,酒饮,2316,香烟,231601,国产省内香烟,20150102,201501,DW-2316010009,20支,一般商品,包,1,32,32,否
120,15,日配,1518,常温乳品,151813,利乐砖乳酸菌,20150102,201501,DW-1518130016,205g,一般商品,盒,12,49,5.5,是
